pair_id,nb_classes_v1,nb_classes_v2,delta_classes,nb_added_classes,nb_removed_classes,nb_attributes_v1,nb_attributes_v2,delta_attributes,nb_added_attributes,nb_removed_attributes,nb_type_changes,nb_references_v1,nb_references_v2,delta_references,nb_added_references,nb_removed_references,nb_multiplicity_changes,nb_containment_changes,nb_abstract_changes,nb_supertype_changes,nsuri_changed,label
augmented_0000_eclass_added_from_add_attribute2__add_attribute2_v1__to__add_attribute2_v2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0001_eattribute_added_from_add_attribute2__add_attribute2_v1__to__add_attribute2_v2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0002_eattribute_removed_from_add_attribute2__add_attribute2_v1__to__add_attribute2_v2,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0003_eattribute_type_changed_from_add_attribute2__add_attribute2_v1__to__add_attribute2_v2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0004_eclass_abstract_changed_from_add_attribute2__add_attribute2_v1__to__add_attribute2_v2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0005_eclass_added_from_add_attribute3__add_attribute3_v1__to__add_attribute3_v2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0006_eattribute_added_from_add_attribute3__add_attribute3_v1__to__add_attribute3_v2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0007_eattribute_removed_from_add_attribute3__add_attribute3_v1__to__add_attribute3_v2,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0008_eattribute_type_changed_from_add_attribute3__add_attribute3_v1__to__add_attribute3_v2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0009_eclass_abstract_changed_from_add_attribute3__add_attribute3_v1__to__add_attribute3_v2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0010_eclass_added_from_add_attribute4__add_attribute4_v1__to__add_attribute4_v2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0011_eattribute_added_from_add_attribute4__add_attribute4_v1__to__add_attribute4_v2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0012_eattribute_removed_from_add_attribute4__add_attribute4_v1__to__add_attribute4_v2,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0013_eattribute_type_changed_from_add_attribute4__add_attribute4_v1__to__add_attribute4_v2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0014_eclass_abstract_changed_from_add_attribute4__add_attribute4_v1__to__add_attribute4_v2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0015_eclass_added_from_add_attribute__add_attribute_v1__to__add_attribute_v2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0016_eattribute_added_from_add_attribute__add_attribute_v1__to__add_attribute_v2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0017_eattribute_removed_from_add_attribute__add_attribute_v1__to__add_attribute_v2,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0018_eattribute_type_changed_from_add_attribute__add_attribute_v1__to__add_attribute_v2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0019_eclass_abstract_changed_from_add_attribute__add_attribute_v1__to__add_attribute_v2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0020_eclass_added_from_add_eclass2__add_eclass2_v1__to__add_eclass2_v2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0021_eattribute_added_from_add_eclass2__add_eclass2_v1__to__add_eclass2_v2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0022_eattribute_removed_from_add_eclass2__add_eclass2_v1__to__add_eclass2_v2,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0023_eattribute_type_changed_from_add_eclass2__add_eclass2_v1__to__add_eclass2_v2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0024_eclass_abstract_changed_from_add_eclass2__add_eclass2_v1__to__add_eclass2_v2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0025_eclass_added_from_add_eclass3__add_eclass3_v1__to__add_eclass3_v2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0026_eattribute_added_from_add_eclass3__add_eclass3_v1__to__add_eclass3_v2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0027_eattribute_removed_from_add_eclass3__add_eclass3_v1__to__add_eclass3_v2,1,1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_0028_eattribute_type_changed_from_add_eclass3__add_eclass3_v1__to__add_eclass3_v2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0029_eclass_abstract_changed_from_add_eclass3__add_eclass3_v1__to__add_eclass3_v2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0030_eclass_added_from_add_eclass4__add_eclass4_v1__to__add_eclass4_v2,1,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
