pair_id,nb_classes_v1,nb_classes_v2,delta_classes,nb_added_classes,nb_removed_classes,nb_attributes_v1,nb_attributes_v2,delta_attributes,nb_added_attributes,nb_removed_attributes,nb_type_changes,nb_references_v1,nb_references_v2,delta_references,nb_added_references,nb_removed_references,nb_multiplicity_changes,nb_containment_changes,nb_abstract_changes,nb_supertype_changes,nsuri_changed,label
augmented_2592_eclass_added_from_MLPlat__MLPlat_v2__to__MLPlat_v3,4,5,1,1,0,12,13,1,0,0,0,3,3,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_0519_eattribute_type_changed_from_synthetic__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_2584_eclass_removed_from_MLPlat__MLPlat_v1__to__MLPlat_v2,3,2,-1,0,1,9,6,-3,0,0,0,2,2,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0281_eattribute_added_from_CI_CD__CI_CD_v1__to__CI_CD_v2,3,3,0,0,0,9,10,1,1,0,0,2,2,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_2398_eattribute_type_changed_from_InvMgmt__InvMgmt_v2__to__InvMgmt_v3,4,4,0,0,0,12,12,0,0,0,1,3,3,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_0654_ereference_removed_from_domains__BugTrack_v1__to__BugTrack_v2,3,3,0,0,0,9,9,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,EREFERENCE_REMOVED
augmented_2555_eclass_abstract_changed_from_MathModel__MathModel_v1__to__MathModel_v2,3,3,0,0,0,9,9,0,0,0,0,2,2,0,0,0,0,0,1,0,0,ECLASS_ABSTRACT_CHANGED
augmented_0320_ereference_added_from_CloudSec__CloudSec_v1__to__CloudSec_v2,3,3,0,0,0,9,9,0,0,0,0,2,3,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_0186_eclass_removed_from_change_multiplicity4__change_multiplicity4_v1__to__change_multiplicity4_v2,2,1,-1,0,1,2,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,ECLASS_REMOVED
augmented_0702_eclass_removed_from_synthetic__remove_eclass3_v1__to__remove_eclass3_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_REMOVED
library__library_v2__to__library_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
augmented_0032_ereference_added_from_AeroEng__AeroEng_v2__to__AeroEng_v3,4,4,0,0,0,12,12,0,0,0,0,3,4,1,1,0,0,0,0,0,0,EREFERENCE_ADDED
augmented_2207_eattribute_added_from_ecommerce__ecommerce_v1__to__ecommerce_v2,3,3,0,0,0,9,10,1,1,0,0,2,2,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_2619_eclass_added_from_MonitAlert__MonitAlert_v1__to__MonitAlert_v2,3,4,1,1,0,9,10,1,0,0,0,2,2,0,0,0,0,0,0,0,0,ECLASS_ADDED
augmented_3424_eattribute_type_changed_from_WasteMgmt__WasteMgmt_v1__to__WasteMgmt_v2,3,3,0,0,0,9,9,0,0,0,1,2,2,0,0,0,0,0,0,0,0,EATTRIBUTE_TYPE_CHANGED
augmented_3215_eattribute_added_from_TaskTrack__TaskTrack_v2__to__TaskTrack_v3,4,4,0,0,0,12,13,1,1,0,0,3,3,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_2577_eattribute_removed_from_metamodels__metamodels_v2__to__metamodels_v3,4,4,0,0,0,12,11,-1,0,1,0,3,3,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_3360_eattribute_removed_from_university__university_v2__to__university_v3,4,4,0,0,0,12,11,-1,0,1,0,3,3,0,0,0,0,0,0,0,0,EATTRIBUTE_REMOVED
augmented_3188_eattribute_added_from_SurveilSys__SurveilSys_v1__to__SurveilSys_v2,3,3,0,0,0,9,10,1,1,0,0,2,2,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_1172_eattribute_added_from_domains__library_v1__to__library_v2,3,3,0,0,0,9,10,1,1,0,0,2,2,0,0,0,0,0,0,0,0,EATTRIBUTE_ADDED
augmented_0223_eclass_added_from_change_type2__change_type2_v1__to__change_type2_v2,1,2,1,1,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ECLASS_ADDED
